Title,Writer,Main Character,Publisher,Release Date,Description
Transformers: More Than Meets the Eye,James Roberts,Various,IDW Publishing,2012-01-18,Transformers: More Than Meets the Eye follows a group of Autobots as they embark on a journey to find the mythical Knights of Cybertron. James Roberts' series blends action and deep character exploration in the Transformers universe.
Batwoman: Elegy,Greg Rucka,Batwoman,DC Comics,2010-05-05,Batwoman: Elegy explores the reimagined origins of Batwoman as she takes up the mantle of Gotham City's protector. Greg Rucka's story delves into Kate's personal journey her military background and her struggle to balance her dual identities.
Locke & Key - Vol. 1: Welcome to Lovecraft,Joe Hill,N/A,IDW Publishing,2008-02-20,Locke & Key - Vol. 1: Welcome to Lovecraft introduces the Locke family as they move into the Keyhouse a mysterious mansion with supernatural keys that unlock extraordinary powers and hidden secrets. Joe Hill's horror-fantasy series combines suspense mythology and family drama.
The Wicked + The Divine - Vol. 1: The Faust Act,Kieron Gillen,Various,Image Comics,2014-11-12,The Wicked + The Divine Vol. 1: The Faust Act follows a group of gods who manifest as pop stars and gain immense powers for two years before dying. Kieron Gillen's series explores themes of fame divinity and the cost of immortality.
Monstress - Vol. 1: Awakening,Marjorie Liu,Maika Halfwolf,Image Comics,2016-07-19,Monstress - Vol. 1: Awakening is set in a war-torn world where a young woman named Maika Halfwolf who shares a psychic bond with a powerful ancient being embarks on a journey to uncover her mysterious past. Marjorie Liu's series combines dark fantasy political intrigue and stunning artwork.
Preacher - Vol. 1: Gone to Texas,Garth Ennis,Jesse Custer,Vertigo Comics,1995-03-01,Preacher - Vol. 1: Gone to Texas follows the disillusioned preacher Jesse Custer who gains a divine power and sets off on a quest to hold God accountable for abandoning humanity. Garth Ennis' series blends irreverent humor intense action and religious themes.
Ms. Marvel - Vol. 1: No Normal,G. Willow Wilson,Kamala Khan,Marvel Comics,2014-10-28,Ms. Marvel - Vol. 1: No Normal introduces Kamala Khan a Pakistani-American teenager who gains shape-shifting abilities and takes on the mantle of Ms. Marvel. G. Willow Wilson's series explores Kamala's journey of self-discovery identity and the challenges of being a superhero.
Transmetropolitan - Vol. 1: Back on the Street,Warren Ellis,Spider Jerusalem,Vertigo Comics,1997-09-01,Transmetropolitan - Vol. 1: Back on the Street follows the journalist Spider Jerusalem as he returns to the dystopian city and becomes embroiled in political intrigue corruption and social commentary. Warren Ellis' series offers a satirical and provocative examination of society technology and the power of the press.
Invincible - Vol. 1: Family Matters,Robert Kirkman,N/A,Image Comics,2003-01-01,Invincible - Vol. 1: Family Matters introduces Mark Grayson a teenager who discovers he has superpowers and must balance his life as a superhero with the challenges of school family and relationships. Robert Kirkman's series offers a fresh take on the superhero genre blending action drama and unexpected twists.
Saga of the Swamp Thing,Alan Moore,Swamp Thing,DC Comics,1984-05-01,Saga of the Swamp Thing reinvents the character of Swamp Thing a humanoid plant creature as Alan Moore explores the nature of humanity environmentalism and existential themes. The series is known for its dark and introspective storytelling pushing the boundaries of what a comic book can be.
The Sandman - Vol. 1: Preludes and Nocturnes,Neil Gaiman, Dream,Vertigo Comics,1989-01-01,The Sandman Vol. 1: Preludes and Nocturnes introduces the Endless a group of anthropomorphic personifications embodying concepts such as Dream Death and Desire. Neil Gaiman's seminal series weaves together mythology dreams and literary references in a surreal and captivating narrative.
The Walking Dead - Vol. 1: Days Gone Bye,Robert Kirkman,Rick Grimes,Image Comics,2004-10-08,The Walking Dead Vol. 1: Days Gone Bye depicts the harrowing story of a group of survivors trying to navigate a post-apocalyptic world overrun by zombies. Robert Kirkman's series examines the human condition morality and the lengths people go to survive in dire circumstances.
V for Vendetta,Alan Moore,V,Vertigo Comics,1988-03-01,V for Vendetta is a dystopian tale set in a totalitarian Britain where a masked vigilante known as V fights against oppression and totalitarianism. Alan Moore's graphic novel explores themes of resistance anarchy and the power of ideas.
Spawn - Vol. 1,Todd McFarlane,Spawn,Image Comics,1992-05-01,Spawn Vol. 1 introduces Al Simmons a former government assassin who is resurrected as a Hellspawn. Todd McFarlane's dark and gritty series follows Simmons' journey as he seeks revenge and battles supernatural forces.
The New Teen Titans - Vol. 1: The Judas Contract,Marv Wolfman,N/A,DC Comics,1984-04-01,The New Teen Titans, Vol. 1: The Judas Contract features the Teen Titans facing off against their traitorous member, Terra. Marv Wolfman's story arc is considered one of the greatest Teen Titans tales, exploring themes of betrayal, trust, and personal growth.
Wanted,Mark Millar,N/A,Image Comics,2003-06-01,Wanted presents a world where supervillains secretly rule society, and a reluctant protagonist is recruited to join their ranks. Mark Millar's series offers a darker take on the superhero genre, exploring themes of power, corruption, and personal choice.
Locke & Key - Vol. 1: Welcome to Lovecraft,Joe Hill,N/A,IDW Publishing,2008-02-01,Locke & Key, Vol. 1: Welcome to Lovecraft follows the Locke family as they discover magical keys that unlock various doors with extraordinary abilities. Joe Hill's series combines horror, fantasy, and family drama in a suspenseful tale of secrets and mystery.
The Incredible Hulk,Vol. 1: The Return of the Monster,Bruce Banner,Marvel Comics,1962-05-01,The Incredible Hulk, Vol. 1: The incredible hulk story
